goes_max_proton,fluence,uncorr_fluence,uncorr_integral,integral,duration
3.883,8663.885472,3413.045792,2131.171,839.5522121,16 		#	2011-06-07 6:16:00
1.423,3155.714517,837.2303819,842.103,223.4150816,24  		#	2011-08-04 3:41:00
2.409,1379.578836,1379.578836,595.973,595.973,6       		#	2011-08-09 7:48:00
0.394,3310.092576,662.0185152,919.387,183.8774,32     		#	2011-09-06 22:12:00
0.167,2907.301663,66.42341234,767.161,17.52740422,284 		#	2011-09-22 10:29:00
2.141,1315.698738,211.1615258,599.015,96.13820987,40  		#	2012-01-23 3:38:00
10.349,5853.880452,2056.768808,1503.899,528.396946,18 		#	2012-01-27 17:37:00
55.927,7053.756164,562.56951,2089.092,166.6146994,81  		#	2012-03-07 0:02:00
#     ,           ,           , ,                     		#	
3.031,4608.064097,1274.57092,1205.910,333.5495744,23  		#	2012-03-13 17:12:00
22.633,4582.885938,2590.326836,1042.340,589.1486959,11		#	2012-05-17 1:25:00
0.297,5112.248778,367.178089,1318.283,94.68330939,90  		#	2012-07-06 23:01:00
0.679,398.04283,30.98537,194.108,15.11020359,83       		#	2012-07-08 16:23:00
0.646,1295.105823,154.4621624,538.444,64.21809175,54  		#	2012-07-19 4:17:00
0.737,775.438168,15.82526874,382.925,7.814795919,318  		#	2012-07-23 1:50:00
1.884,6431.56059,576.6226736,1884.497,168.9549035,72  		#	2013-04-11 10:55:00
3.420,2739.443928,474.8369474,994.414,172.3650933,37  		#	2013-05-22 13:08:00
0.143,238.15902,7.838144962,126.931,4.177475949,197   		#	2013-09-29 21:43:00
0.148,2947.45048,77.09629022,803.440,21.0155332,248   		#	2013-10-28 4:32:00
0.233,149.509584,4.25300786,105.464,3.000070022,228   		#	2013-11-02 4:48:00
0.241,1051.536114,73.10144108,399.993,27.807,93       		#	2013-12-28 17:16:00
3.838,1541.515968,541.6137186,512.825,180.1817568,18  		#	2014-01-06 8:00:00
#     ,           ,           ,    ,                  		#	2014-01-07 18:04:00
0.773,3195.29859 ,113.8051553,931.341,33.17104932,182 		#	2014-02-25 13:55:00
0.650,2213.234265,237.7854996,473.716,50.89510744,60  		#	2014-04-18 15:25:00
0.638,1754.80204 ,17.80829549,1215.523,12.33551835,640		#	2014-09-01 21:58:00
0.837,12107.40575,509.3730575,2802.100,117.8877023,154		#	2014-09-10 17:21:00
1.883,937.159085,140.0352656,337.599,50.44582759,43   		#	2015-10-29