flare_class,flare_location,t3_duration,t3_intensity,goes_max_proton,cdaw_onset,fluence
M3.7,N30W48,,,2.712E-01,2011-03-2104:10:00,0.000
M2.5,S22W53,64,193.140,3.972E+00,2011-06-0707:20:00,1656.623
M9.3,N16W38,35,56.182,1.482E+00,2011-08-0404:30:00,730.361
X6.9,N14W69,42,84.722,2.498E+00,2011-08-0908:20:00,2434.651
X2.1,N14W18,32,49.052,4.266E-01,,0.000
M8.7,N33W21,37,31.110,2.204E+00,2012-01-2304:45:00,880.237
X1.7,N33W85,58,201.506,1.054E+01,2012-01-2718:55:00,2575.173
X5.4,N18E31,54,456.692,5.681E+01,2012-03-0702:50:00,1149.095
# X1.3,N15E26,,,,,
M7.9,N17W66,52,188.330,3.197E+00,2012-03-1317:55:00,2708.746
M5.1,N07W88,43,109.910,2.364E+01,2012-05-1701:55:00,4095.991
X1.1,S13W59,49,58.086,3.300E-01,2012-07-0700:05:00,389.485
,,,,7.167E-01,2012-07-0818:10:00,0.000
X1.4,S13W03,,,1.925E-01,2012-07-1217:25:00,0.000
M7.7,S13W88,62,162.585,7.289E-01,2012-07-1906:40:00,1065.397
,,,,8.174E-01,2012-07-2308:00:00,0.000
M6.5,N07E13,39,97.639,1.969E+00,2013-04-1108:25:00,377.887
M5.0,N14W87,52,59.730,3.582E+00,2013-05-2214:20:00,443.707
C8.2,S21W03,,,2.854E-01,,0.000
,,27,44.628,3.077E-01,2013-12-2819:00:00,97.294
,,16,29.727,3.825E+00,2014-01-0608:15:00,475.628
X1.2,S12W08,67,119.847,3.910E+00,2014-01-0719:55:00,514.219
M3.0,S15W75,35,78.901,5.563E-01,2014-02-2008:15:00,1329.634
X4.9,S12E77,27,48.016,8.632E-01,2014-02-2503:50:00,51.857
M7.3,S20W34,,,6.836E-01,2014-04-1813:40:00,0.000
,,11,37.013,6.883E-01,,0.000
X1.6,N11E05,109,144.276,8.525E-01,2014-09-1021:35:00,430.397
,,,,1.961E+00,2015-10-2903:05:00,0.000